TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
489995,tt6296764,306 Hollywood,en,1.453,2018-01-18,94,"Chicago Media Project,Artemis Rising,Sundance Institute,JustFilms / Ford Foundation",United States of America,0,0,Documentary,"Elan Bogarín,Jonathan Bogarín,Nyneve Laura Minnear","Elan Bogarín,Jonathan Bogarín","Sherry Anthony,Ruby Berube,Nicole Bloomfield",6.8
454648,tt6675400,Con Man,en,2.849,2018-01-30,100,Insomnia Media Group,United States of America,0,0,"Crime,Drama","Bruce McAlester,Jonathan Meyers",Bruce McAlester,"Armand Assante,Justin Baldoni,Talia Shire",4.7
450545,tt6328004,Secret Santa,en,2.803,2018-03-03,89,"Distilled Media,Skeleton Crew",United States of America,0,0,"Action,Comedy,Horror","Adam Marcus,Debra Sullivan",Adam Marcus,"Michael Rady,Drew Lynch,Debra Sullivan",5.0
446695,tt6518270,An Evening with Beverly Luff Linn,en,4.498,2018-05-25,108,"Park Pictures Features,Rook Films,Wigwam Films","United Kingdom,United States of America",0,0,"Comedy,Crime","Jim Hosking,David Wike",Jim Hosking,"Aubrey Plaza,Jemaine Clement,Emile Hirsch",5.8
532638,tt6521776,Open 24 Hours,en,16.049,2018-08-27,102,"Seahorse Filmhouse,Zee Studios International",United States of America,0,0,Horror,Padraig Reynolds,Padraig Reynolds,"Vanessa Grasse,Brendan Fletcher,Emily Tennant",5.5
567665,tt6671850,Two Graves,en,2.31,2018-06-09,80,"Ida Rose,Gizmo Films,Happy Hour Productions,Principal Film Finance",United Kingdom,630009,0,Thriller,Gary Young,Gary Young,"Josh Herdman,David Hayman,Cathy Tyson",4.3
520335,tt6851966,Nigerian Prince,en,2.288,2018-04-24,104,AT&T,"Nigeria,United States of America",0,0,"Crime,Drama,Thriller","Faraday Okoro,Andrew Long",Faraday Okoro,"Antonio J Bell,Chinaza Uche,Tina Mba",5.9
477016,tt6874254,Out of Blue,en,7.575,2019-03-22,110,"Cannon and Morley Productions,BBC Film,BFI Film Fund,Independent,Ellenglaze Films,Lipsync Productions,The Electric Shadow Company,BFI",United Kingdom,0,17682,"Crime,Drama,Mystery","Martin Amis,Carol Morley",Carol Morley,"Mamie Gummer,Toby Jones,Bri Collins",4.8
458594,tt6850820,Peppermint,en,23.223,2018-09-06,102,"STX Entertainment,Lakeshore Entertainment,Huayi Brothers Pictures","China,United States of America",25000000,53918723,"Action,Thriller",Chad St. John,Pierre Morel,"Jennifer Garner,John Gallagher Jr.,John Ortiz",6.5
514734,tt6849786,General Magic,en,3.47,2019-05-09,92,Spellbound Productions II,"United Kingdom,United States of America",0,0,Documentary,"Sarah Kerruish,Jonathan Key,Matt Maude","Sarah Kerruish,Matt Maude","Tony Fadell,Andy Hertzfeld,Marc Porat",7.4
457041,tt6852872,Elizabeth Harvest,en,8.327,2018-08-10,105,"Automatik Entertainment,Motion Picture Capital,Voltage Pictures",United States of America,0,4973,"Horror,Sci-Fi,Thriller",Sebastian Gutierrez,Sebastian Gutierrez,"Abbey Lee,Ciarán Hinds,Carla Gugino",5.8
522964,tt6678874,Incoming,en,9.847,2018-05-04,89,"Premiere Entertainment Group,Benattar/Thomas Productions,Red Production",United States of America,0,0,"Action,Sci-Fi,Thriller","Rick Benattar,Jorge Saralegui,Nigel Thomas",Eric Zaragoza,"Scott Adkins,Aaron McCusker,Michelle Lehane",3.3
480530,tt6343314,Creed II,en,244.813,2018-11-21,130,"Metro-Goldwyn-Mayer,New Line Cinema,Chartoff-Winkler Productions",United States of America,50000000,214215889,"Action,Drama,Sport","Juel Taylor,Sylvester Stallone,Sascha Penn",Steven Caple Jr.,"Michael B. Jordan,Sylvester Stallone,Tessa Thompson",7.1
524788,tt6857040,The Appearance,en,5.042,2018-12-07,111,"Camera 40 Productions,Hive Entertainment",United States of America,0,0,"Horror,Thriller",Kurt Knight,Kurt Knight,"Jake Stormoen,Kristian Nairn,Adam Johnson",4.8
440471,tt6513656,Escape Plan 2: Hades,en,28.3,2018-06-05,96,"Leomus Pictures,Grindstone Entertainment Group,Lionsgate,Summit Entertainment,EFO Films,Highland Film Group,Plastic Fish Productions,The Fyzz","China,United States of America",20000000,17500000,"Action,Crime,Mystery",Miles Chapman,Steven C. Miller,"Sylvester Stallone,Dave Bautista,Xiaoming Huang",3.8
448447,tt6676028,In a Relationship,en,7.699,2018-11-09,92,"PSH Collective,Skyline Entertainment,2 Friends Media,Particular Crowd","Mexico,United States of America",0,0,"Comedy,Drama",Sam Boyd,Sam Boyd,"Emma Roberts,Michael Angarano,Dree Hemingway",5.5
482564,tt6341066,Intrigo: Death of an Author,en,3.705,2018-10-11,106,"The Amazing Film Company,Enderby Entertainment","Germany,Sweden,United States of America",0,0,"Crime,Drama,Mystery","Håkan Nesser,Daniel Alfredson,Birgitta Bongenhielm",Daniel Alfredson,"Ben Kingsley,Benno Fürmann,Tuva Novotny",5.7
502143,tt6728096,The Breaker Upperers,en,7.412,2018-05-03,82,"New Zealand Film Commission,Piki Films,Miss Conception Films,Bespoke Post,Madman Entertainment,James Wallace Productions",New Zealand,0,0,Comedy,"Madeleine Sami,Jackie van Beek","Madeleine Sami,Jackie van Beek","Madeleine Sami,Jackie van Beek,James Rolleston",5.9
508003,tt6510332,McQueen,en,6.722,2018-06-08,111,"Salon Pictures,Misfits Entertainment,Creativity Capital,Moving Pictures Media",United Kingdom,0,1243177,"Documentary,Biography",Peter Ettedgui,"Ian Bonhôte,Peter Ettedgui","Alexander McQueen,Joyce McQueen,John Hitchcock",7.7
500734,tt6540984,#SquadGoals,en,3.858,2018-01-16,90,"MarVista Entertainment,Cartel Pictures,The Cartel,Metro-Goldwyn-Mayer",United States of America,0,0,"Drama,Thriller",Caron Tschampion,Danny J. Boyle,"Sheryl Lee,Paris Berelc,Kennedy Lea Slocum",4.3
492783,tt6541512,The Commodore Story,en,2.274,2018-02-23,120,WavemStudios,United Kingdom,0,0,Documentary,Steven Fletcher,Steven Fletcher,"Chris Huelsbeck,James D. Sachs,Hedley Davis",6.1
533550,tt6285672,Breaking & Exiting,en,8.054,2018-08-17,78,Kali Pictures,United States of America,0,0,"Comedy,Drama",Jordan Danger,Peter Facinelli,"Milo Gibson,Jordan Danger,Adam Huber",5.6
454992,tt6663582,The Spy Who Dumped Me,en,12.441,2018-08-02,117,"Imagine Entertainment,Lionsgate,Bron Studios","Canada,United States of America",40000000,33562069,"Action,Adventure,Comedy","Susanna Fogel,David Iserson",Susanna Fogel,"Justin Theroux,Blanka Györfi-Tóth,Vilma Szécsi",6.0
466174,tt6284256,Knuckleball,en,3.281,2018-04-17,89,775 Media Corp,Canada,0,0,"Drama,Horror,Thriller","Kevin Cockle,Michael Peterson,Jordan Scott",Michael Peterson,"Michael Ironside,Munro Chambers,Luca Villacis",5.7
